Model: Qwen_Qwen2.5-7B  r_cap=3  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
model.layers.11.self_attn.k_proj.weight                  1,835,008   24.99%    30,096  1.640%     44.79    0.5758%
model.layers.11.self_attn.o_proj.weight                 12,845,056   24.99%   187,991  1.464%     46.83    0.4553%
model.layers.11.self_attn.q_proj.weight                 12,845,056   24.99%   183,250  1.427%     46.20    0.4898%
model.layers.11.self_attn.v_proj.weight                  1,835,008   24.99%    27,149  1.480%     50.11    0.3121%
model.layers.12.mlp.down_proj.weight                    67,895,296   24.99%   897,011  1.321%     47.57    0.4182%
model.layers.12.mlp.gate_proj.weight                    67,895,296   24.99%   879,640  1.296%     48.27    0.3861%
model.layers.12.mlp.up_proj.weight                      67,895,296   24.99%   876,008  1.290%     48.60    0.3717%
model.layers.12.self_attn.k_proj.weight                  1,835,008   24.99%    29,995  1.635%     45.67    0.5205%
model.layers.12.self_attn.o_proj.weight                 12,845,056   24.99%   184,700  1.438%     47.71    0.4118%
model.layers.12.self_attn.q_proj.weight                 12,845,056   24.99%   184,483  1.436%     46.57    0.4692%
model.layers.12.self_attn.v_proj.weight                  1,835,008   24.99%    27,503  1.499%     48.74    0.3655%
model.layers.13.mlp.down_proj.weight                    67,895,296   24.99%   880,105  1.296%     48.90    0.3588%
model.layers.13.mlp.gate_proj.weight                    67,895,296   24.99%   883,530  1.301%     47.85    0.4050%
model.layers.13.mlp.up_proj.weight                      67,895,296   24.99%   878,168  1.293%     48.93    0.3576%
model.layers.13.self_attn.k_proj.weight                  1,835,008   24.99%    30,499  1.662%     45.15    0.5525%
model.layers.13.self_attn.o_proj.weight                 12,845,056   24.99%   198,632  1.546%     44.82    0.5744%
model.layers.13.self_attn.q_proj.weight                 12,845,056   24.99%   186,733  1.454%     44.93    0.5672%
model.layers.13.self_attn.v_proj.weight                  1,835,008   24.99%    27,450  1.496%     47.03    0.4452%
model.layers.14.mlp.up_proj.weight                      67,895,296   24.99%   898,880  1.324%     47.75    0.4096%
model.layers.14.self_attn.k_proj.weight                  1,835,008   24.99%    29,325  1.598%     45.08    0.5571%
model.layers.14.self_attn.o_proj.weight                 12,845,056   24.99%   201,889  1.572%     45.64    0.5225%
model.layers.14.self_attn.q_proj.weight                 12,845,056   24.99%   192,742  1.501%     45.30    0.5433%
model.layers.14.self_attn.v_proj.weight                  1,835,008   24.99%    29,843  1.626%     48.28    0.3855%
model.layers.6.mlp.down_proj.weight                     67,895,296   24.99%   916,214  1.349%     49.06    0.3525%
model.layers.6.mlp.gate_proj.weight                     67,895,296   24.99%   893,730  1.316%     45.72    0.5174%
model.layers.6.mlp.up_proj.weight                       67,895,296   24.99%   897,610  1.322%     50.56    0.2965%
model.layers.7.mlp.down_proj.weight                     67,895,296   24.99%   906,097  1.335%     47.57    0.4182%
model.layers.7.mlp.gate_proj.weight                     67,895,296   24.99%   862,435  1.270%     47.81    0.4068%
model.layers.7.mlp.up_proj.weight                       67,895,296   24.99%   879,900  1.296%     49.72    0.3267%
model.layers.7.self_attn.k_proj.weight                   1,835,008   24.99%    28,481  1.552%     44.85    0.5722%
model.layers.7.self_attn.o_proj.weight                  12,845,056   24.99%   180,169  1.403%     46.58    0.4691%
model.layers.7.self_attn.q_proj.weight                  12,845,056   24.99%   177,395  1.381%     47.23    0.4350%
model.layers.7.self_attn.v_proj.weight                   1,835,008   24.99%    27,908  1.521%     44.39    0.6031%
model.layers.8.mlp.down_proj.weight                     67,895,296   24.99%   878,775  1.294%     49.10    0.3509%
model.layers.8.mlp.gate_proj.weight                     67,895,296   24.99%   847,665  1.248%     49.02    0.3540%
model.layers.8.mlp.up_proj.weight                       67,895,296   24.99%   854,496  1.259%     50.18    0.3096%
model.layers.8.self_attn.k_proj.weight                   1,835,008   24.99%    30,331  1.653%     45.03    0.5606%
model.layers.8.self_attn.o_proj.weight                  12,845,056   24.99%   191,594  1.492%     46.55    0.4705%
model.layers.8.self_attn.q_proj.weight                  12,845,056   24.99%   186,527  1.452%     45.80    0.5129%
model.layers.8.self_attn.v_proj.weight                   1,835,008   24.99%    26,593  1.449%     51.05    0.2801%
model.layers.9.mlp.down_proj.weight                     67,895,296   24.99%   935,404  1.378%     50.13    0.3114%
model.layers.9.mlp.gate_proj.weight                     67,895,296   24.99%   856,343  1.261%     46.81    0.4565%
model.layers.9.mlp.up_proj.weight                       67,895,296   24.99%   924,725  1.362%     51.19    0.2757%
model.layers.9.self_attn.k_proj.weight                   1,835,008   24.99%    29,578  1.612%     45.37    0.5389%
model.layers.9.self_attn.o_proj.weight                  12,845,056   24.99%   186,973  1.456%     45.92    0.5057%
model.layers.9.self_attn.q_proj.weight                  12,845,056   24.99%   184,799  1.439%     46.28    0.4854%
model.layers.9.self_attn.v_proj.weight                   1,835,008   24.99%    26,118  1.423%     45.92    0.5060%
model.layers.14.mlp.down_proj.weight                    67,895,296   24.99%   893,650  1.316%     47.80    0.4073%
model.layers.14.mlp.gate_proj.weight                    67,895,296   24.99%   904,467  1.332%     47.38    0.4276%
model.layers.15.mlp.down_proj.weight                    67,895,296   24.99%   881,083  1.298%     48.30    0.3845%
model.layers.15.mlp.gate_proj.weight                    67,895,296   24.99%   908,317  1.338%     47.82    0.4066%
model.layers.15.mlp.up_proj.weight                      67,895,296   24.99%   885,809  1.305%     48.05    0.3956%
model.layers.15.self_attn.k_proj.weight                  1,835,008   24.99%    30,923  1.685%     43.34    0.6808%
model.layers.15.self_attn.o_proj.weight                 12,845,056   24.99%   193,754  1.508%     46.48    0.4743%
model.layers.15.self_attn.q_proj.weight                 12,845,056   24.99%   198,771  1.547%     45.08    0.5572%
model.layers.15.self_attn.v_proj.weight                  1,835,008   24.99%    27,508  1.499%     49.78    0.3243%
model.layers.16.mlp.down_proj.weight                    67,895,296   24.99%   870,560  1.282%     49.25    0.3447%
model.layers.16.mlp.gate_proj.weight                    67,895,296   24.99%   895,691  1.319%     48.28    0.3853%
model.layers.16.mlp.up_proj.weight                      67,895,296   24.99%   870,124  1.282%     48.64    0.3697%
model.layers.16.self_attn.k_proj.weight                  1,835,008   24.99%    27,993  1.525%     44.93    0.5671%
model.layers.16.self_attn.o_proj.weight                 12,845,056   24.99%   195,693  1.523%     45.28    0.5448%
model.layers.16.self_attn.q_proj.weight                 12,845,056   24.99%   183,638  1.430%     46.45    0.4757%
model.layers.16.self_attn.v_proj.weight                  1,835,008   24.99%    26,007  1.417%     48.05    0.3958%
model.layers.17.mlp.down_proj.weight                    67,895,296   24.99%   890,585  1.312%     48.10    0.3937%
model.layers.17.mlp.gate_proj.weight                    67,895,296   24.99%   911,553  1.343%     47.82    0.4066%
model.layers.17.mlp.up_proj.weight                      67,895,296   24.99%   881,113  1.298%     48.04    0.3962%
model.layers.17.self_attn.k_proj.weight                  1,835,008   24.99%    28,118  1.532%     44.89    0.5697%
model.layers.17.self_attn.o_proj.weight                 12,845,056   24.99%   196,014  1.526%     45.28    0.5447%
model.layers.17.self_attn.q_proj.weight                 12,845,056   24.99%   187,347  1.459%     46.27    0.4858%
model.layers.17.self_attn.v_proj.weight                  1,835,008   24.99%    27,729  1.511%     46.21    0.4891%
model.layers.18.mlp.down_proj.weight                    67,895,296   24.99%   888,817  1.309%     47.53    0.4201%
model.layers.18.mlp.gate_proj.weight                    67,895,296   24.99%   932,486  1.373%     47.25    0.4341%
model.layers.18.mlp.up_proj.weight                      67,895,296   24.99%   885,043  1.304%     47.50    0.4216%
model.layers.18.self_attn.k_proj.weight                  1,835,008   24.99%    27,958  1.524%     45.20    0.5495%
model.layers.18.self_attn.o_proj.weight                 12,845,056   24.99%   200,889  1.564%     44.06    0.6268%
model.layers.18.self_attn.q_proj.weight                 12,845,056   24.99%   189,683  1.477%     46.18    0.4908%
model.layers.18.self_attn.v_proj.weight                  1,835,008   24.99%    26,512  1.445%     44.92    0.5676%
model.layers.19.mlp.down_proj.weight                    67,895,296   24.99%   867,325  1.277%     48.47    0.3772%
model.layers.19.mlp.gate_proj.weight                    67,895,296   24.99%   916,863  1.350%     47.38    0.4277%
model.layers.19.mlp.up_proj.weight                      67,895,296   24.99%   860,503  1.267%     48.43    0.3789%
model.layers.19.self_attn.k_proj.weight                  1,835,008   24.99%    28,050  1.529%     44.87    0.5708%
model.layers.19.self_attn.o_proj.weight                 12,845,056   24.99%   184,017  1.433%     46.00    0.5010%
model.layers.19.self_attn.q_proj.weight                 12,845,056   24.99%   190,678  1.484%     45.85    0.5097%
model.layers.19.self_attn.v_proj.weight                  1,835,008   24.99%    28,661  1.562%     43.85    0.6421%
model.layers.20.mlp.down_proj.weight                    67,895,296   24.99%   887,217  1.307%     47.48    0.4228%
model.layers.20.mlp.gate_proj.weight                    67,895,296   24.99%   929,826  1.369%     46.77    0.4589%
model.layers.20.mlp.up_proj.weight                      67,895,296   24.99%   866,698  1.277%     48.01    0.3978%
model.layers.20.self_attn.k_proj.weight                  1,835,008   24.99%    26,900  1.466%     45.15    0.5525%
model.layers.20.self_attn.o_proj.weight                 12,845,056   24.99%   178,050  1.386%     45.95    0.5039%
model.layers.20.self_attn.q_proj.weight                 12,845,056   24.99%   178,666  1.391%     47.43    0.4249%
model.layers.20.self_attn.v_proj.weight                  1,835,008   24.99%    28,659  1.562%     44.32    0.6082%
model.layers.21.mlp.down_proj.weight                    67,895,296   24.99%   871,397  1.283%     48.48    0.3768%
model.layers.21.mlp.gate_proj.weight                    67,895,296   24.99%   911,442  1.342%     46.88    0.4528%
model.layers.21.mlp.up_proj.weight                      67,895,296   24.99%   849,177  1.251%     48.89    0.3591%
model.layers.21.self_attn.k_proj.weight                  1,835,008   24.99%    27,745  1.512%     44.83    0.5734%
model.layers.21.self_attn.o_proj.weight                 12,845,056   24.99%   195,924  1.525%     44.06    0.6263%
model.layers.21.self_attn.q_proj.weight                 12,845,056   24.99%   191,501  1.491%     46.08    0.4965%
model.layers.21.self_attn.v_proj.weight                  1,835,008   24.99%    33,935  1.849%     44.47    0.5981%
model.layers.22.mlp.gate_proj.weight                    67,895,296   24.99%   900,944  1.327%     47.16    0.4386%
model.layers.22.mlp.up_proj.weight                      67,895,296   24.99%   842,573  1.241%     48.83    0.3617%
model.layers.22.self_attn.k_proj.weight                  1,835,008   24.99%    27,987  1.525%     44.34    0.6069%
model.layers.22.self_attn.o_proj.weight                 12,845,056   24.99%   172,744  1.345%     46.16    0.4920%
model.layers.22.self_attn.q_proj.weight                 12,845,056   24.99%   196,522  1.530%     46.19    0.4905%
model.layers.22.self_attn.v_proj.weight                  1,835,008   24.99%    36,450  1.986%     41.41    0.8502%
lm_head.weight                                          544,997,376   24.99% 8,373,109  1.536%     43.76    0.6484%
model.layers.22.mlp.down_proj.weight                    67,895,296   24.99%   867,987  1.278%     48.65    0.3695%
model.layers.23.mlp.down_proj.weight                    67,895,296   24.99%   840,564  1.238%     49.87    0.3210%
model.layers.23.mlp.gate_proj.weight                    67,895,296   24.99%   854,332  1.258%     49.00    0.3547%
model.layers.23.mlp.up_proj.weight                      67,895,296   24.99%   823,349  1.213%     50.04    0.3148%
model.layers.23.self_attn.k_proj.weight                  1,835,008   24.99%    28,411  1.548%     44.41    0.6021%
model.layers.23.self_attn.o_proj.weight                 12,845,056   24.99%   178,389  1.389%     44.86    0.5712%
model.layers.23.self_attn.q_proj.weight                 12,845,056   24.99%   193,164  1.504%     46.45    0.4757%
model.layers.23.self_attn.v_proj.weight                  1,835,008   24.99%    37,613  2.050%     41.46    0.8455%
model.layers.24.mlp.down_proj.weight                    67,895,296   24.99%   822,290  1.211%     49.85    0.3216%
model.layers.24.mlp.gate_proj.weight                    67,895,296   24.99%   849,037  1.251%     50.12    0.3118%
model.layers.24.mlp.up_proj.weight                      67,895,296   24.99%   812,286  1.196%     50.04    0.3147%
model.layers.24.self_attn.k_proj.weight                  1,835,008   24.99%    28,190  1.536%     45.57    0.5268%
model.layers.24.self_attn.o_proj.weight                 12,845,056   24.99%   163,677  1.274%     46.85    0.4546%
model.layers.24.self_attn.q_proj.weight                 12,845,056   24.99%   189,808  1.478%     47.47    0.4234%
model.layers.24.self_attn.v_proj.weight                  1,835,008   24.99%    35,902  1.957%     43.16    0.6950%
model.layers.25.mlp.down_proj.weight                    67,895,296   24.99%   821,446  1.210%     49.18    0.3476%
model.layers.25.mlp.gate_proj.weight                    67,895,296   24.99%   856,150  1.261%     50.13    0.3114%
model.layers.25.mlp.up_proj.weight                      67,895,296   24.99%   812,679  1.197%     49.62    0.3304%
model.layers.25.self_attn.k_proj.weight                  1,835,008   24.99%    29,757  1.622%     44.84    0.5728%
model.layers.25.self_attn.o_proj.weight                 12,845,056   24.99%   166,163  1.294%     45.62    0.5239%
model.layers.25.self_attn.q_proj.weight                 12,845,056   24.99%   191,007  1.487%     47.18    0.4375%
model.layers.25.self_attn.v_proj.weight                  1,835,008   24.99%    38,680  2.108%     43.03    0.7056%
model.layers.26.mlp.down_proj.weight                    67,895,296   24.99%   823,270  1.213%     49.14    0.3490%
model.layers.26.mlp.gate_proj.weight                    67,895,296   24.99%   860,720  1.268%     49.84    0.3220%
model.layers.26.mlp.up_proj.weight                      67,895,296   24.99%   812,930  1.197%     49.37    0.3401%
model.layers.26.self_attn.k_proj.weight                  1,835,008   24.99%    31,855  1.736%     44.81    0.5746%
model.layers.26.self_attn.o_proj.weight                 12,845,056   24.99%   178,699  1.391%     44.13    0.6216%
model.layers.26.self_attn.q_proj.weight                 12,845,056   24.99%   202,238  1.574%     45.77    0.5145%
model.layers.26.self_attn.v_proj.weight                  1,835,008   24.99%    34,788  1.896%     42.83    0.7220%
model.layers.27.mlp.down_proj.weight                    67,895,296   24.99%   927,251  1.366%     48.05    0.3960%
model.layers.27.mlp.gate_proj.weight                    67,895,296   24.99%   843,930  1.243%     49.54    0.3333%
model.layers.27.mlp.up_proj.weight                      67,895,296   24.99%   817,813  1.205%     49.60    0.3312%
model.layers.27.self_attn.k_proj.weight                  1,835,008   24.99%    29,717  1.619%     44.72    0.5810%
model.layers.27.self_attn.o_proj.weight                 12,845,056   24.99%   204,541  1.592%     44.42    0.6014%
model.layers.27.self_attn.q_proj.weight                 12,845,056   24.99%   203,538  1.585%     45.95    0.5042%
model.layers.27.self_attn.v_proj.weight                  1,835,008   24.99%    31,360  1.709%     42.26    0.7710%
------------------------------------------------------------------------------------------------------------------
TOTAL                                                   7,615,283,200   24.99% 118,899,307  1.561%
