Model: Qwen_Qwen2.5-7B  r_cap=3  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
------------------------------------------------------------------------------------------------------------------
model.embed_tokens.weight                               544,997,376   24.99% 10,476,815  1.922%     26.13    4.9349%
model.layers.0.mlp.down_proj.weight                     67,895,296   24.99% 2,420,599  3.565%     46.29    0.4848%
model.layers.0.mlp.gate_proj.weight                     67,895,296   24.99% 3,006,313  4.428%     17.71   13.0099%
model.layers.0.mlp.up_proj.weight                       67,895,296   24.99% 1,490,652  2.196%     46.63    0.4659%
model.layers.0.self_attn.k_proj.weight                   1,835,008   24.99%    26,573  1.448%     49.59    0.3316%
model.layers.0.self_attn.o_proj.weight                  12,845,056   24.99%   237,327  1.848%     44.86    0.5717%
model.layers.0.self_attn.q_proj.weight                  12,845,056   24.99%   166,325  1.295%     46.89    0.4526%
model.layers.0.self_attn.v_proj.weight                   1,835,008   24.99%    22,190  1.209%     48.28    0.3854%
model.layers.1.mlp.down_proj.weight                     67,895,296   24.99% 3,251,522  4.789%     40.55    0.9384%
model.layers.1.mlp.gate_proj.weight                     67,895,296   24.99% 3,393,136  4.998%     42.23    0.7734%
model.layers.1.mlp.up_proj.weight                       67,895,296   24.99% 2,424,563  3.571%     42.90    0.7164%
model.layers.1.self_attn.k_proj.weight                   1,835,008   24.99%    84,459  4.603%     40.84    0.9077%
model.layers.1.self_attn.o_proj.weight                  12,845,056   24.99%   194,932  1.518%     46.90    0.4521%
model.layers.1.self_attn.q_proj.weight                  12,845,056   24.99%   729,752  5.681%     40.63    0.9298%
model.layers.1.self_attn.v_proj.weight                   1,835,008   24.99%    40,328  2.198%     48.57    0.3729%
model.layers.2.mlp.down_proj.weight                     67,895,296   24.99% 1,714,415  2.525%     47.78    0.4085%
model.layers.2.mlp.gate_proj.weight                     67,895,296   24.99% 1,998,755  2.944%     44.72    0.5806%
model.layers.2.mlp.up_proj.weight                       67,895,296   24.99% 1,444,014  2.127%     46.35    0.4811%
model.layers.2.self_attn.k_proj.weight                   1,835,008   24.99%    56,289  3.068%     43.91    0.6374%
model.layers.2.self_attn.o_proj.weight                  12,845,056   24.99%   191,181  1.488%     47.68    0.4131%
model.layers.2.self_attn.q_proj.weight                  12,845,056   24.99%   440,818  3.432%     44.15    0.6203%
model.layers.2.self_attn.v_proj.weight                   1,835,008   24.99%    39,191  2.136%     44.54    0.5927%
model.layers.3.mlp.down_proj.weight                     67,895,296   24.99%   923,295  1.360%     46.71    0.4617%
model.layers.3.mlp.gate_proj.weight                     67,895,296   24.99%   795,801  1.172%     48.11    0.3929%
model.layers.3.mlp.up_proj.weight                       67,895,296   24.99%   911,373  1.342%     48.53    0.3747%
model.layers.3.self_attn.k_proj.weight                   1,835,008   24.99%    41,524  2.263%     45.30    0.5436%
model.layers.3.self_attn.o_proj.weight                  12,845,056   24.99%   202,812  1.579%     44.88    0.5701%
model.layers.3.self_attn.q_proj.weight                  12,845,056   24.99%   276,617  2.153%     44.71    0.5814%
model.layers.3.self_attn.v_proj.weight                   1,835,008   24.99%    36,361  1.982%     46.80    0.4572%
model.layers.4.mlp.down_proj.weight                     67,895,296   24.99%   923,245  1.360%     47.98    0.3991%
model.layers.4.mlp.gate_proj.weight                     67,895,296   24.99%   806,796  1.188%     47.36    0.4286%
model.layers.4.mlp.up_proj.weight                       67,895,296   24.99%   929,538  1.369%     48.59    0.3720%
model.layers.4.self_attn.k_proj.weight                   1,835,008   24.99%    37,105  2.022%     45.63    0.5231%
model.layers.4.self_attn.o_proj.weight                  12,845,056   24.99%   190,945  1.487%     47.51    0.4213%
model.layers.4.self_attn.q_proj.weight                  12,845,056   24.99%   281,542  2.192%     44.81    0.5748%
model.layers.4.self_attn.v_proj.weight                   1,835,008   24.99%    32,116  1.750%     47.98    0.3991%
model.layers.5.mlp.down_proj.weight                     67,895,296   24.99%   887,838  1.308%     48.63    0.3701%
model.layers.5.mlp.gate_proj.weight                     67,895,296   24.99%   809,975  1.193%     48.65    0.3696%
model.layers.5.mlp.up_proj.weight                       67,895,296   24.99%   892,647  1.315%     48.74    0.3656%
model.layers.5.self_attn.k_proj.weight                   1,835,008   24.99%    30,792  1.678%     45.81    0.5121%
model.layers.5.self_attn.o_proj.weight                  12,845,056   24.99%   188,595  1.468%     47.26    0.4335%
model.layers.5.self_attn.q_proj.weight                  12,845,056   24.99%   198,359  1.544%     46.04    0.4989%
model.layers.5.self_attn.v_proj.weight                   1,835,008   24.99%    28,428  1.549%     50.14    0.3111%
model.layers.6.self_attn.k_proj.weight                   1,835,008   24.99%    29,077  1.585%     47.73    0.4109%
model.layers.6.self_attn.o_proj.weight                  12,845,056   24.99%   190,634  1.484%     46.42    0.4775%
model.layers.6.self_attn.q_proj.weight                  12,845,056   24.99%   184,634  1.437%     46.21    0.4891%
model.layers.6.self_attn.v_proj.weight                   1,835,008   24.99%    26,149  1.425%     50.40    0.3020%
model.layers.10.mlp.down_proj.weight                    67,895,296   24.99%   878,126  1.293%     49.55    0.3329%
model.layers.10.mlp.gate_proj.weight                    67,895,296   24.99%   849,765  1.252%     48.55    0.3739%
model.layers.10.mlp.up_proj.weight                      67,895,296   24.99%   872,198  1.285%     50.08    0.3132%
model.layers.10.self_attn.k_proj.weight                  1,835,008   24.99%    28,941  1.577%     45.27    0.5451%
model.layers.10.self_attn.o_proj.weight                 12,845,056   24.99%   188,297  1.466%     46.07    0.4973%
model.layers.10.self_attn.q_proj.weight                 12,845,056   24.99%   181,699  1.415%     45.98    0.5024%
model.layers.10.self_attn.v_proj.weight                  1,835,008   24.99%    25,955  1.414%     47.79    0.4078%
model.layers.11.mlp.down_proj.weight                    67,895,296   24.99%   868,013  1.278%     49.67    0.3283%
model.layers.11.mlp.gate_proj.weight                    67,895,296   24.99%   849,331  1.251%     49.15    0.3488%
model.layers.11.mlp.up_proj.weight                      67,895,296   24.99%   860,224  1.267%     49.82    0.3228%
